ID,Name,Address,City,State,ZIP ,Y,X,Collection_Date,To_North_AM,To_East_AM,To_South_AM,To_West_AM,To_North_PM,To_East_PM,To_South_PM,To_West_PM,To_Northeast_AM,To_Southeast_AM,To_Southwest_AM,To_Northwest_AM,To_Northeast_PM,To_Southeast_PM,To_Southwest_PM,To_Northwest_PM,Total_AM_Count,Total_PM_Count,Total_Day_Count
1,Market St & 11th St,Market St & 11th St,San Francisco,CA,94102,37.7756,-122.419,NA,-1,-1,NA,-1,-1,-1,NA,-1,NA,-1,NA,NA,NA,NA,NA,NA,-1,-1,-1
2,Howard St & 11th St,Howard St & 11th St,San Francisco,CA,94103,37.77312,-122.416,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
3,8th St & Townsend St,8th St & Townsend St,San Francisco,CA,94103,37.77004,-122.404,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
4,5th St & Townsend St,5th St & Townsend St,San Francisco,CA,94107,37.77535,-122.397,NA,NA,-1,-1,-1,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
5,2nd St & Townsend,2nd St & Townsend St,San Francisco,CA,94107,37.78062,-122.391,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,The Embarcadero & Townsend St,Embarcadero & Townsend St,San Francisco,CA,94107,37.7818,-122.388,11/19/2019,540,230,870,0,691,0,1903,0,NA,NA,NA,NA,NA,NA,NA,NA,1640,2594,4234
7,The Embarcadero & Market St,Ferry Building,San Francisco,CA,94105,37.79532,-122.394,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,-1,NA,-1,NA,-1,NA,-1,-1,-1
8,Broadway & The Embarcadero,Broadway & The Embarcadero,San Francisco,CA,94111,37.79918,-122.398,NA,-1,-1,-1,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
9,Broadway & Columbus Ave,Broadway & Columbus Ave,San Francisco,CA,94133,37.79789,-122.407,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
10,SFMTA - Sutter Stockton Garage,444 Stockton St,San Francisco,CA,94108,37.79007,-122.407,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
11,Polk St & Sutter St,Polk St & Sutter St,San Francisco,CA,94109,37.78776,-122.42,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
12,Polk St & McAllister St,Polk St & McAllister St,San Francisco,CA,94102,37.78027,-122.419,10/22/2019,157,496,328,67,346,87,357,764,NA,NA,NA,NA,NA,NA,NA,NA,1048,1554,2602
13,5th/Cyril Magnin St & Market St,Cyril Magnin St & Market St,San Francisco,CA,94102,37.784,-122.408,10/22/2019,1902,109,149,32,498,74,1875,144,NA,NA,NA,NA,NA,NA,NA,NA,2192,2591,4783
14,16th St & 7th St,16th St & 7th St,San Francisco,CA,94107,37.76654,-122.395,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
15,Mariposa St/ Terry Francois & Illinois St,Terry A Francois Blvd & Mariposa St,San Francisco,CA,94158,37.76439,-122.388,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
16,Valencia St & 17th St,Valencia St & 17th St,San Francisco,CA,94110,37.7633,-122.422,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
17,23rd St & Potrero Ave,23rd St & Potrero Ave,San Francisco,CA,94110,37.75458,-122.406,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
18,Harrison St & Cesar Chavez,Harrison St & Cesar Chavez,San Francisco,CA,94110,37.7483,-122.412,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
19,San Jose Ave & Randall St,San Jose Ave & Randall St,San Francisco,CA,94110,37.73986,-122.424,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
20,Portola Dr & Woodside Ave/ O'Shaughnessy,Portola Dr & Woodside Ave,San Francisco,CA,94127,37.74559,-122.452,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
21,7th Ave & Kirkham St,7th Ave & Kirkham St,San Francisco,CA,94122,37.76039,-122.464,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
22,Scott St & Fell St,Scott St & Fell St,San Francisco,CA,94117,37.77427,-122.436,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
23,Page St & Scott St,Page St & Scott St,San Francisco,CA,94117,37.77242,-122.436,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
24,Masonic Ave & Golden Gate Ave,Masonic Ave & Golden Gate Ave,San Francisco,CA,94118,37.77767,-122.447,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
