ID,Name,Address,City,State,ZIP ,X,Y,Collection_Date,To_North_AM,To_East_AM,To_South_AM,To_West_AM,To_North_PM,To_East_PM,To_South_PM,To_West_PM,To_Northeast_AM,To_Southeast_AM,To_Southwest_AM,To_Northwest_AM,To_Northeast_PM,To_Southeast_PM,To_Southwest_PM,To_Northwest_PM,Total_AM_Count,Total_PM_Count,Total_Day_Count
1,Market St & 11th St,Market St & 11th St,San Francisco,CA,94102,-122.419,37.7756,NA,-1,-1,NA,-1,-1,-1,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
2,Howard St & 11th St,Howard St & 11th St,San Francisco,CA,94103,-122.416,37.77312,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
3,8th St & Townsend St,8th St & Townsend St,San Francisco,CA,94103,-122.404,37.77004,10/23/2018,169,576,355,296,60,212,211,748,NA,NA,NA,NA,NA,NA,NA,NA,1396,1231,2627
4,5th St & Townsend St,5th St & Townsend St,San Francisco,CA,94107,-122.397,37.77535,NA,NA,-1,-1,-1,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
5,2nd St & Townsend,2nd St & Townsend St,San Francisco,CA,94107,-122.391,37.78062,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,The Embarcadero & Townsend St,Embarcadero & Townsend St,San Francisco,CA,94107,-122.388,37.7818,10/23/2018,556,292,760,0,393,268,833,0,NA,NA,NA,NA,NA,NA,NA,NA,1608,1494,3102
7,The Embarcadero & Market St,Ferry Building,San Francisco,CA,94105,-122.394,37.79532,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,-1,NA,-1,NA,-1,NA,-1,-1,-1
8,Broadway & The Embarcadero,Broadway & The Embarcadero,San Francisco,CA,94111,-122.398,37.79918,NA,-1,-1,-1,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
9,Broadway & Columbus Ave,Broadway & Columbus Ave,San Francisco,CA,94133,-122.407,37.79789,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
10,SFMTA - Sutter Stockton Garage,444 Stockton St,San Francisco,CA,94108,-122.407,37.79007,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
11,Polk St & Sutter St,Polk St & Sutter St,San Francisco,CA,94109,-122.42,37.78776,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
12,Polk St & McAllister St,Polk St & McAllister St,San Francisco,CA,94102,-122.419,37.78027,10/23/2018,167,479,288,75,307,96,304,725,NA,NA,NA,NA,NA,NA,NA,NA,1009,1432,2441
13,5th/Cyril Magnin St & Market St,Cyril Magnin St & Market St,San Francisco,CA,94102,-122.408,37.784,10/23/2018,55,1741,123,149,191,369,49,1631,NA,NA,NA,NA,NA,NA,NA,NA,2068,2240,4308
14,16th St & 7th St,16th St & 7th St,San Francisco,CA,94107,-122.395,37.76654,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
15,Mariposa St/ Terry Francois & Illinois St,Terry A Francois Blvd & Mariposa St,San Francisco,CA,94158,-122.388,37.76439,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
16,Valencia St & 17th St,Valencia St & 17th St,San Francisco,CA,94110,-122.422,37.7633,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
17,23rd St & Potrero Ave,23rd St & Potrero Ave,San Francisco,CA,94110,-122.406,37.75458,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
18,Harrison St & Cesar Chavez,Harrison St & Cesar Chavez,San Francisco,CA,94110,-122.412,37.7483,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
19,San Jose Ave & Randall St,San Jose Ave & Randall St,San Francisco,CA,94110,-122.424,37.73986,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
20,Portola Dr & Woodside Ave/ O'Shaughnessy,Portola Dr & Woodside Ave,San Francisco,CA,94127,-122.452,37.74559,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
21,7th Ave & Kirkham St,7th Ave & Kirkham St,San Francisco,CA,94122,-122.464,37.76039,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
22,Scott St & Fell St,Scott St & Fell St,San Francisco,CA,94117,-122.436,37.77427,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
23,Page St & Scott St,Page St & Scott St,San Francisco,CA,94117,-122.436,37.77242,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
24,Masonic Ave & Golden Gate Ave,Masonic Ave & Golden Gate Ave,San Francisco,CA,94118,-122.447,37.77767,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
25,Alemany Blvd & Geneva Ave,Alemany Blvd & Geneva Ave,San Francisco,CA,94112,-122.442,37.71789,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
26,Great Hwy & Sloat Blvd,Great Hwy & Sloat Blvd,San Francisco,CA,94132,-122.507,37.73541,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
27,Winston Dr & Lake Merced Blvd,Winston Dr & Lake Merced Blvd,San Francisco,CA,94132,-122.484,37.727,NA,-1,NA,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
28,Transverse Dr & John F Kennedy Dr,Transverse Dr & John F Kennedy Dr,San Francisco,CA,94121,-122.48,37.77049,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
29,Arguello Blvd & Lake St/ Sacramento,Arguello Blvd & Lake St,San Francisco,CA,94118,-122.459,37.78692,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
30,Marina Blvd & Cervantes Blvd,Marina Blvd & Cervantes Blvd,San Francisco,CA,94123,-122.442,37.80578,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
31,Folsom St & 14th St,Folsom St & 14th St,San Francisco,CA,94103,-122.416,37.76854,10/23/2018,687,681,71,5,164,104,647,52,NA,NA,NA,NA,NA,NA,NA,NA,1444,967,2411
32,Panhandle/Masonic Avenue & Fell Street,Masonic Avenue & Fell Street,San Francisco,CA,94117,-122.446,37.77298,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
33,Levon Hagop Nishkian Bridge,3rd St,San Francisco,CA,94124,-122.387,37.74864,NA,-1,NA,-1,NA,-1,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
34,Market St & 2nd St,Market St & 2nd St,San Francisco,CA,94104,-122.401,37.78924,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
35,17th/Market St & Castro,Market St & Castro St,San Francisco,CA,94114,-122.435,37.76264,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
36,7th Ave & Lincoln Way,7th Ave & Lincoln Way,San Francisco,CA,94122,-122.464,37.76603,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
37,Mission St & 16th St,Mission St & 16th St,San Francisco,CA,94103,-122.42,37.76505,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
38,Holloway Ave & 19th Ave,Holloway Ave & 19th Ave,San Francisco,CA,94132,-122.475,37.72103,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
39,Market St & Valencia St,Market St & Valencia St,San Francisco,CA,94103,-122.423,37.77255,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
40,Folsom St & 2nd St,Folsom St & 2nd St,San Francisco,CA,94107,-122.397,37.78556,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
41,Market St & Church/14th St,Market St & Church St,San Francisco,CA,94114,-122.429,37.76761,10/23/2018,26,301,32,9,75,90,39,31,NA,NA,NA,NA,NA,NA,NA,NA,368,235,603
42,19th Ave & Lincoln Way,19th Ave & Lincoln Way,San Francisco,CA,94122,-122.477,37.76544,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
43,8th Ave & Clement St,8th Ave & Clement St,San Francisco,CA,94118,-122.467,37.78284,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
44,Golden Gate Bridge,Golden Gate Bridge,San Francisco,CA,,-122.478,37.81827,NA,-1,NA,-1,NA,-1,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
45,Mission St & Cortland Ave,Mission St & Cortland Ave,San Francisco,CA,94110,-122.423,37.74101,NA,-1,NA,-1,-1,-1,NA,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
46,Mission St & Ocean Ave,Mission St & Ocean Ave,San Francisco,CA,94112,-122.435,37.72389,NA,-1,-1,-1,NA,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
47,Page St & Stanyan St,Page St & Stanyan St,San Francisco,CA,94117,-122.454,37.7701,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
48,University of California San Francisco Parnassus Campus,505 Parnassus Ave,San Francisco,CA,94143,-122.458,37.76351,NA,NA,-1,NA,-1,NA,-1,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
49,Paul Ave & San Bruno Ave,Paul Ave & San Bruno Ave,San Francisco,CA,94134,-122.402,37.72392,NA,-1,-1,-1,NA,-1,-1,-1,NA,NA,NA,NA,-1,NA,NA,NA,-1,-1,-1,-1
50,19th Ave & Sloat Blvd,19th Ave & Sloat Blvd,San Francisco,CA,94132,-122.475,37.73456,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
51,Polk St & Grove St,Polk St & Grove St,San Francisco,CA,94102,-122.418,37.77848,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
52,Bush St & Battery St,Bush St & Battery St,San Francisco,CA,94104,-122.4,37.79135,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
53,Kearny St & Bush St,Kearny St & Bush St,San Francisco,CA,94108,-122.404,37.79077,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
54,Cesar Chavez & Illinois St,Cesar Chavez & Illinois St,San Francisco,CA,94107,-122.387,37.75031,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
55,Market St & Octavia St,Market St & Octavia St,San Francisco,CA,94102,-122.423,37.77201,10/23/2018,80,676,20,72,268,173,44,1060,NA,NA,NA,NA,NA,NA,NA,NA,848,1545,2393
56,Folsom St & 7th St,Folsom St & 7th St,San Francisco,CA,94103,-122.408,37.77677,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
57,Howard St & 8th St,Howard St & 8th St,San Francisco,CA,94103,-122.412,37.77623,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
58,Oak St & Baker St,Oak St & Baker St,San Francisco,CA,94117,-122.441,37.7727,10/23/2018,20,41,744,1,17,16,214,5,NA,NA,NA,NA,NA,NA,NA,NA,806,252,1058
59,Howard St & Beale St,Howard St & Beale St,San Francisco,CA,94105,-122.394,37.78992,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
60,Ortega St & 24th Ave,Ortega St & 24th Ave,San Francisco,CA,94122,-122.482,37.75214,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
61,Howard St & The Embarcadero,Howard St & The Embarcadero,San Francisco,CA,94105,-122.391,37.79233,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
62,Sloat Blvd & 34th Ave,Sloat Blvd & 34th Ave,San Francisco,CA,94116,-122.491,37.73413,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
63,48th Ave & Point Lobos Ave,48th Ave & Point Lobos Ave,San Francisco,CA,94121,-122.509,37.77986,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
64,Polk St & Green St,Polk St & Green St,San Francisco,CA,94109,-122.422,37.79783,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
65,Potrero Ave & 16th St,Potrero Ave & 16th St,San Francisco,CA,94103,-122.408,37.76577,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
66,Polk St & North Point St,Polk St & North Point St,San Francisco,CA,94109,-122.424,37.80529,10/23/2018,86,363,18,54,30,67,44,432,NA,NA,NA,NA,NA,NA,NA,NA,521,573,1094
67,Paul Ave & Bayshore Blvd,Paul Ave & Bayshore Blvd,San Francisco,CA,94124,-122.401,37.72361,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
68,Polk St & Broadway,Polk St & Broadway,San Francisco,CA,94109,-122.422,37.79594,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
69,Folsom St & Fremont St,Folsom St & Fremont St,San Francisco,CA,94105,-122.394,37.788,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
70,22nd St & Folsom St,22nd St & Folsom St,San Francisco,CA,94110,-122.414,37.75572,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
71,Hunters Point Blvd & Innes Ave,Hunters Point Blvd & Innes Ave,San Francisco,CA,94124,-122.377,37.73274,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
72,Mission St & 24th St,Mission St & 24th St,San Francisco,CA,94110,-122.418,37.75226,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
73,9th Ave & Irving St,9th Ave & Irving St,San Francisco,CA,94122,-122.466,37.76404,NA,-1,-1,-1,-1,-1,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,-1,-1,-1
